"year","months","MaximumTemperature","MinimumTemperature","PalmerDroughtSeverityIndexPDSI","Precipitation","AverageTemperature","state"
"2020","April-June",27.17,-1.89,-3.2,1.00666666666667,12.59,"Colorado"
"2020","July-September",30.22,6.11,-5.16,1.20666666666667,18.93,"Colorado"
"2020","October-December",17.39,-10.06,-5.61333333333333,0.81,3.02,"Colorado"
"2021","January-March",9.33,-10.56,-5.67,1.30666666666667,-1.61,"Colorado"
"2021","April-June",27.33,-1.94,-4.99,1.73,12.17,"Colorado"
"2021","July-September",29.22,8.06,-4.82666666666667,1.59333333333333,19.2,"Colorado"
"2021","October-December",16.72,-7.22,-4.89,1.07,4.63,"Colorado"
"2022","January-March",9.44,-11.72,-4.78333333333333,1.05333333333333,-1.76,"Colorado"
"2022","April-June",26.22,-1.94,-5.39666666666667,1.25333333333333,12.09,"Colorado"
"2015","January-March",4.94,-15.33,-1.30666666666667,2.84333333333333,-4.8,"Connecticut"
"2015","April-June",24.17,2.11,-2.19,3.43333333333333,14.63,"Connecticut"
"2015","July-September",28.39,13.22,-2.43,2.85666666666667,21.48,"Connecticut"
"2015","October-December",17.06,1.94,-3.20666666666667,3.22666666666667,8.33,"Connecticut"
"2016","January-March",12,-6.17,-3.06333333333333,3.08,1.65,"Connecticut"
"2016","April-June",26.06,1.89,-3.39,2.65666666666667,14.19,"Connecticut"
"2016","July-September",29.44,13.17,-3.97333333333333,2.98,21.89,"Connecticut"
"2016","October-December",17.83,-4.44,-4.16666666666667,3.52666666666667,6.22,"Connecticut"
"2017","January-March",6.89,-4.39,-3.75333333333333,3.01,0.87,"Connecticut"
"2017","April-June",25.5,5.17,-2.75666666666667,4.53333333333333,14.72,"Connecticut"
"2017","July-September",27.56,13.22,-2.25333333333333,3.1,20.48,"Connecticut"
"2017","October-December",20.89,-5.94,-1.81666666666667,4.05666666666667,5.98,"Connecticut"
"2018","January-March",7.06,-8.72,0.486666666666667,4.20333333333333,0.28,"Connecticut"
"2018","April-June",25,0.67,-0.0966666666666667,3.95,14.07,"Connecticut"
"2018","July-September",29.17,14.5,0.97,6.52,21.93,"Connecticut"
"2018","October-December",16.22,-3.44,2.95,6.04666666666667,5.41,"Connecticut"
"2019","January-March",6.94,-7.61,3.12666666666667,3.89,-0.7,"Connecticut"
"2019","April-June",24.83,4,3.01,5.18666666666667,14.2,"Connecticut"
"2019","July-September",29.89,11.11,1.86,3.34,20.87,"Connecticut"
"2019","October-December",17,-4.56,1.82333333333333,5.55333333333333,5.07,"Connecticut"
"2020","January-March",10.61,-4.11,-0.61,3.05666666666667,2.28,"Connecticut"
"2020","April-June",26.78,1.61,-0.64,3.45,13.56,"Connecticut"
"2020","July-September",29.89,11.39,-2.24,2.55,21.43,"Connecticut"
"2020","October-December",16.94,-3.78,-1.91666666666667,5.4,6.7,"Connecticut"
"2021","January-March",10.28,-6,-1.70333333333333,2.60333333333333,0.19,"Connecticut"
"2021","April-June",26.89,3,-2.01666666666667,3.51,14.76,"Connecticut"
"2021","July-September",27.56,13.28,2.31666666666667,7.54,20.94,"Connecticut"
"2021","October-December",18.78,-1.39,0.543333333333333,3.37,7.19,"Connecticut"
"2022","January-March",9.39,-9.72,-1.25333333333333,3.17333333333333,-0.43,"Connecticut"
"2022","April-June",25.17,2.78,-1.38666666666667,3.62,14.54,"Connecticut"
"2015","January-March",10.17,-8.61,0.673333333333333,3.93666666666667,0.44,"Delaware"
"2015","April-June",28.06,6.17,0.106666666666667,4.54666666666667,18.46,"Delaware"
"2015","July-September",29.94,16.78,-0.61,3.11333333333333,23.7,"Delaware"
"2015","October-December",19.44,5.17,-0.873333333333333,3.82666666666667,11.65,"Delaware"
"2016","January-March",15.67,-3.89,-1.06666666666667,2.73,4.91,"Delaware"
"2016","April-June",28.11,5.39,-0.106666666666667,4.11,16.89,"Delaware"
"2016","July-September",31.67,17.33,1.11,6.18,24.85,"Delaware"
"2016","October-December",21.33,-0.94,-0.496666666666667,2.20333333333333,9.72,"Delaware"
"2017","January-March",12.78,0,-1.40333333333333,2.9,5.8,"Delaware"
"2017","April-June",28.89,9.56,-0.46,3.54333333333333,18.52,"Delaware"
"2017","July-September",30.83,15.94,0.91,6.17333333333333,23.37,"Delaware"
"2017","October-December",22.5,-2.5,-0.553333333333333,2.22666666666667,9.26,"Delaware"
"2018","January-March",11.56,-4.89,0.0933333333333333,4.01333333333333,3.8,"Delaware"
"2018","April-June",27.78,4.89,1.14333333333333,4.78666666666667,17.87,"Delaware"
"2018","July-September",31,19.11,1.81333333333333,5.63666666666667,24.7,"Delaware"
"2018","October-December",20.83,0.61,3.58666666666667,5.57,9.5,"Delaware"
"2019","January-March",11.61,-3.06,2.33666666666667,3.50333333333333,3.93,"Delaware"
"2019","April-June",28.67,8.94,0.05,4.35333333333333,19.15,"Delaware"
"2019","July-September",32.33,16,-0.943333333333333,2.62333333333333,24.41,"Delaware"
"2019","October-December",21.61,-0.67,-2.01666666666667,3.19333333333333,9.09,"Delaware"
"2020","January-March",15.17,-0.39,-2.02333333333333,3.37,6.59,"Delaware"
"2020","April-June",28.94,5.33,-1.83,3.03333333333333,16.69,"Delaware"
"2020","July-September",32.56,15.33,1.02,6.52333333333333,24.19,"Delaware"
"2020","October-December",21,-0.67,3.02,5.71333333333333,10.28,"Delaware"
"2021","January-March",14.67,-1.94,2.25666666666667,4.15333333333333,4.35,"Delaware"
"2021","April-June",28.78,6.39,-0.803333333333333,2.84666666666667,17.85,"Delaware"
"2021","July-September",30.67,15.56,-0.563333333333333,4.85333333333333,23.78,"Delaware"
"2021","October-December",22.39,1.28,-1.56,1.78,10.39,"Delaware"
"2022","January-March",14.06,-5.39,-2.52666666666667,3.01333333333333,3.93,"Delaware"
"2022","April-June",28.22,5.78,-2.09666666666667,3.83333333333333,17.22,"Delaware"
"2015","January-March",26.78,7.39,0.386666666666667,2.69,16.41,"Florida"
"2015","April-June",33.17,18.56,-1.34333333333333,4.24,25.61,"Florida"
"2015","July-September",33.44,22,-1.68666666666667,7.64666666666667,27.63,"Florida"
"2015","October-December",28.78,16,-1.97,3.04333333333333,22.26,"Florida"
"2016","January-March",26.33,8.44,0.643333333333333,4.24333333333333,16.5,"Florida"
"2016","April-June",33.11,15.56,-0.293333333333333,4.88666666666667,24.69,"Florida"
"2016","July-September",34.33,22.28,-1.02,6.80666666666667,28.17,"Florida"
"2016","October-December",29.39,12.56,-1.85666666666667,1.86666666666667,20.57,"Florida"
"2017","January-March",25.72,10.78,-2.62333333333333,2.27666666666667,18.24,"Florida"
"2017","April-June",31.56,15.67,-1.80666666666667,6.11,24.74,"Florida"
"2017","July-September",33.11,21.94,1.90666666666667,8.32,27.78,"Florida"
"2017","October-December",28.83,10.61,0.533333333333333,2.83666666666667,20,"Florida"
"2018","January-March",26.28,6.72,-1.03666666666667,2.50333333333333,16.89,"Florida"
"2018","April-June",32.72,14.61,1.39666666666667,6.54666666666667,24.46,"Florida"
"2018","July-September",32.89,22.94,1.15,6.97333333333333,27.96,"Florida"
"2018","October-December",30.11,11.11,0.0466666666666667,4.15,20.19,"Florida"
"2019","January-March",25.33,8.44,-0.103333333333333,2.63333333333333,17.7,"Florida"
"2019","April-June",33.17,15.33,-1.51333333333333,4.84,25.24,"Florida"
"2019","July-September",33.33,22.39,-1.63333333333333,6.01666666666667,28.07,"Florida"
"2019","October-December",30.5,12.22,-2.3,3.87666666666667,20.5,"Florida"
"2020","January-March",28.11,10.44,-2.71333333333333,1.86,18.59,"Florida"
"2020","April-June",32.33,16.61,0.22,5.58333333333333,24.8,"Florida"
"2020","July-September",33.39,22.5,0.693333333333333,8.40333333333333,27.93,"Florida"
"2020","October-December",29.78,7.67,1.26333333333333,3.48,20.3,"Florida"
"2021","January-March",25.94,8.89,-0.503333333333333,2.55,17.44,"Florida"
"2021","April-June",32,14.78,-0.446666666666667,4.85333333333333,24.24,"Florida"
"2021","July-September",32.78,21.72,1.11666666666667,8.22333333333333,27.44,"Florida"
"2021","October-December",29.33,11.56,0.663333333333333,2.83,20.28,"Florida"
"2022","January-March",26.67,8.11,-0.62,2.96,17.24,"Florida"
"2022","April-June",33.33,15.94,0.08,4.86,25.11,"Florida"
"2015","January-March",21.17,-0.06,0.226666666666667,3.64666666666667,9.43,"Georgia"
"2015","April-June",32.44,13.56,-0.7,4.20666666666667,22.69,"Georgia"
"2015","July-September",33.44,18.17,-0.453333333333333,4.72666666666667,25.7,"Georgia"
"2015","October-December",24.17,9.33,1.09666666666667,6,16.2,"Georgia"
"2016","January-March",23,1,-0.28,3.89333333333333,10.98,"Georgia"
