"","Year","Period","State","State.ANSI","colony_added","colony_max","colony_cd_loss","colony_loss","colony_loss_pct","Disesases","Other","Pesticides","Pests.excl.Varroa.mites","Unknown","Varroa.mites","colony_reno_pct"
"111",2021,"APR THRU JUN","MASSACHUSETTS",25,"2,000","12,000","30","810","7","(Z)","(Z)","34","34.3","0","45.5","3"
"112",2021,"APR THRU JUN","MICHIGAN",26,"10,000","112,000","1,300","3,500","3","0.8","0.8","3.5","2.7","(Z)","44.8","7"
"113",2021,"APR THRU JUN","MINNESOTA",27,"29,000","98,000","730","5,500","6","(Z)","1.1","12.8","0","1.1","13.1","4"
"114",2021,"APR THRU JUN","MISSISSIPPI",28,"9,500","35,000","310","4,600","13","3.2","3.2","0.5","11.3","9.9","46.7","23"
"115",2021,"APR THRU JUN","MISSOURI",29,"2,300","4,800","40","670","14","1.8","8.3","0.9","8.8","4.8","21.9","14"
"116",2021,"APR THRU JUN","MONTANA",30,"13,500","116,000","820","3,200","3","1.5","5.2","13.3","0","3","20.8","13"
"117",2021,"APR THRU JUN","NEBRASKA",31,"9,000","37,000","1,200","1,800","5","(Z)","3.2","7.4","(Z)","1.3","17.3","2"
"118",2021,"APR THRU JUN","NEW JERSEY",34,"1,400","19,500","50","410","2","0","1.8","2.6","5.5","1.3","11.8","1"
"119",2021,"APR THRU JUN","NEW MEXICO",35,"560","5,500","370","670","12","1.3","0","2.5","1.2","(Z)","60","42"
"120",2021,"APR THRU JUN","NEW YORK",36,"15,000","50,000","820","3,000","6","0.5","2.3","1.7","3.9","3.5","35.8","8"
"121",2021,"APR THRU JUN","NORTH CAROLINA",37,"6,000","23,000","150","1,700","7","(Z)","(Z)","(Z)","3.5","(Z)","35.8","14"
"122",2021,"APR THRU JUN","NORTH DAKOTA",38,"11,500","495,000","7,000","6,000","1","(Z)","2","(Z)","0.7","(Z)","29.2","1"
"123",2021,"APR THRU JUN","OHIO",39,"8,000","13,500","100","820","6","6.6","7.1","4.1","37.8","3.1","62.1","18"
"124",2021,"APR THRU JUN","OKLAHOMA",40,"4,200","17,000","0","3,600","21","(Z)","7","(Z)","2.1","1","3.1","1"
"125",2021,"APR THRU JUN","OREGON",41,"25,000","108,000","530","3,300","3","6.2","6.5","10.1","8.3","1.8","17.2","18"
"126",2021,"APR THRU JUN","OTHER STATES",NA,"2,880","8,460",NA,"140","2","(Z)","5.7","4.6","(Z)","4.7","42.8","37"
"127",2021,"APR THRU JUN","PENNSYLVANIA",42,"7,000","23,000","430","2,000","9","1.4","1.2","2.6","5","0.5","21.4","12"
"128",2021,"APR THRU JUN","SOUTH CAROLINA",45,"4,200","19,000","140","1,700","9","2.1","9.1","(Z)","32.7","5","48.4","26"
"129",2021,"APR THRU JUN","SOUTH DAKOTA",46,"39,000","210,000","170","7,000","3","3.6","27.3","4.2","12","0.7","49.4","9"
"130",2021,"APR THRU JUN","TENNESSEE",47,"4,800","12,000","80","720","6","(Z)","3.1","2.4","10.3","(Z)","22.4","28"
"131",2021,"APR THRU JUN","TEXAS",48,"67,000","425,000","780","74,000","17","0","5.7","11.5","3.4","(Z)","38.1","17"
"132",2021,"APR THRU JUN","UTAH",49,"9,500","31,000","540","3,800","12","10.3","(Z)","18.7","25.7","1.4","40","12"
"133",2021,"APR THRU JUN","VERMONT",50,"770","7,000","10","40","1","0.5","1.5","0","0.8","0","28.1","8"
"134",2021,"APR THRU JUN","VIRGINIA",51,"3,100","8,500","120","530","6","3.6","2.7","2.1","6.3","3.7","13.3","10"
"135",2021,"APR THRU JUN","WASHINGTON",53,"9,500","122,000","240","2,900","2","8.4","4.7","1.2","19.1","(Z)","31.7","2"
"136",2021,"APR THRU JUN","WEST VIRGINIA",54,"1,900","9,000","40","170","2","1.1","1","0","3.9","2.2","5.2","4"
"137",2021,"APR THRU JUN","WISCONSIN",55,"10,000","57,000","670","2,100","4","1.2","1.1","15.1","19.3","2.2","26.1","13"
"138",2021,"APR THRU JUN","WYOMING",56,"7,500","30,000","1,700","2,700","9","0","1.5","6.9","0.9","2.4","8.3","16"
"139",2021,"JAN THRU MAR","ALABAMA",1,"670","10,000","270","1,100","11","0","3.1","(Z)","30.3","4","52.2","2"
"140",2021,"JAN THRU MAR","ARIZONA",4,"4,500","28,000","1,000","6,500","23","6","0.5","0","6.1","3.8","6.7","16"
"141",2021,"JAN THRU MAR","ARKANSAS",5,"690","21,000","1,200","4,900","23","0","3.8","13.2","18.3","2.5","27.2","1"
"142",2021,"JAN THRU MAR","CALIFORNIA",6,"189,000","1,600,000","6,000","275,000","17","1.7","6.2","7.2","5.7","3.4","29.9","5"
"143",2021,"JAN THRU MAR","COLORADO",8,"1,000","16,500","3,100","700","4","0","1","0","0","7","7.9","(Z)"
"144",2021,"JAN THRU MAR","CONNECTICUT",9,"400","4,200","160","800","19","0","1.6","0.5","3.5","1","17.8","1"
"145",2021,"JAN THRU MAR","FLORIDA",12,"47,000","305,000","7,500","31,000","10","5.6","6.3","6.6","11.9","3.4","34.6","6"
"146",2021,"JAN THRU MAR","GEORGIA",13,"34,000","120,000","6,500","20,000","17","8.9","4.1","1.5","14.4","4.6","47.9","12"
"147",2021,"JAN THRU MAR","HAWAII",15,"2,300","19,500","40","800","4","0","4.7","0","52.2","0","53","8"
"148",2021,"JAN THRU MAR","IDAHO",16,"11,000","193,000","5,000","14,500","8","0","1.6","8.9","9.9","1.5","30","5"
"149",2021,"JAN THRU MAR","ILLINOIS",17,"2,500","13,000","270","3,000","23","1.6","17.9","1.3","12.9","9.4","28.8","2"
"150",2021,"JAN THRU MAR","INDIANA",18,"2,400","11,000","450","2,600","24","0","4.8","0.7","5.4","4.4","34.1","(Z)"
"151",2021,"JAN THRU MAR","IOWA",19,"1,100","26,000","790","2,100","8","(Z)","7.8","3.7","0.7","3.8","18.9","(Z)"
"152",2021,"JAN THRU MAR","KANSAS",20,"1,000","8,000","190","1,400","18","0","19.1","0","2.8","2.2","25.7","(Z)"
"153",2021,"JAN THRU MAR","KENTUCKY",21,"1,000","11,000","240","2,100","19","(Z)","5.1","0","16.9","9.3","27.5","1"
"154",2021,"JAN THRU MAR","LOUISIANA",22,"3,600","53,000","450","7,000","13","0","10","1.6","3.8","1.1","62.1","6"
"155",2021,"JAN THRU MAR","MAINE",23,"60","2,900","170","300","10","(Z)","2.2","0","2.6","2.1","7.2","3"
"156",2021,"JAN THRU MAR","MARYLAND",24,"1,300","7,000","110","1,800","26","0","19.7","(Z)","1.1","2.7","34.6","3"
"157",2021,"JAN THRU MAR","MASSACHUSETTS",25,"30","5,000","210","980","20","1","7.8","0.5","3.6","4.5","28.9","2"
"158",2021,"JAN THRU MAR","MICHIGAN",26,"320","78,000","3,300","1,500","2","(Z)","0.7","(Z)","(Z)","1.6","2.3","5"
"159",2021,"JAN THRU MAR","MINNESOTA",27,"1,300","73,000","6,000","3,200","4","0","2.8","2.5","0.6","(Z)","6.3","(Z)"
"160",2021,"JAN THRU MAR","MISSISSIPPI",28,"14,000","36,000","300","5,500","15","0","15.5","1","3.8","4.7","19.7","(Z)"
"161",2021,"JAN THRU MAR","MISSOURI",29,"110","5,500","160","900","16","(Z)","13.1","0.8","5.6","5.3","16.6","1"
"162",2021,"JAN THRU MAR","MONTANA",30,"820","51,000","1,000","330","1","0","(Z)","0","0","(Z)","15","(Z)"
"163",2021,"JAN THRU MAR","NEBRASKA",31,"930","18,000","540","640","4","(Z)","1.7","1.5","(Z)","0.7","11","0"
"164",2021,"JAN THRU MAR","NEW JERSEY",34,"900","14,000","600","350","3","1","1.2","1.3","1.5","0.8","18.7","1"
"165",2021,"JAN THRU MAR","NEW MEXICO",35,"170","5,500","10","270","5","0","6.5","0","(Z)","1.9","14.2","0"
